Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH,pH_predicho,Error_abs,Error_pct
Urea,g/L,0.05,-0.0179,3.12,3.0799758238622887,0.040024176137711365,1.2828261582599796
Urea,g/L,0.05,-0.0178,3.12,3.082597662610916,0.03740233738908394,1.1987928650347417
Urea,g/L,0.05,-0.0177,3.12,3.0852319957366943,0.03476800426330584,1.1143591110033924
Urea,g/L,0.05,-0.0176,3.13,3.0878754196127485,0.04212458038725142,1.3458332392093106
Urea,g/L,0.05,-0.0174,3.13,3.093176470877567,0.03682352912243303,1.1764705789914707
Urea,g/L,0.05,-0.0173,3.12,3.0958278367820076,0.024172163217992537,0.7747488210895044
Urea,g/L,0.05,-0.0172,3.14,3.0984757704680743,0.041524229531925805,1.3224276920995477
Urea,g/L,0.05,-0.0171,3.14,3.1011174140783284,0.03888258592167171,1.2382989147029204
Urea,g/L,0.05,-0.017,3.14,3.1037500189092433,0.03624998109075683,1.1544579965209183
Urea,g/L,0.05,-0.0168,3.14,3.1089776631883224,0.031022336811677764,0.9879725099260434
Urea,g/L,0.05,-0.0167,3.14,3.1115677509988626,0.0284322490011375,0.9054856369789012
Urea,g/L,0.05,-0.0166,3.15,3.1141388967548096,0.03586110324519032,1.138447722069534
Urea,g/L,0.05,-0.0165,3.15,3.1166888975220797,0.03331110247792024,1.0574953167593726
Urea,g/L,0.05,-0.0164,3.15,3.1192156595204787,0.030784340479521166,0.9772806501435292
Urea,g/L,0.05,-0.0162,3.15,3.1241916378593726,0.025808362140627317,0.8193130838294387
Urea,g/L,0.05,-0.0161,3.15,3.126637212408937,0.023362787591062695,0.7416757965416729
Urea,g/L,0.05,-0.016,3.16,3.129052264607785,0.03094773539221496,0.9793587149435113
Urea,g/L,0.05,-0.0159,3.16,3.131435246445179,0.02856475355482102,0.9039478973044626
Urea,g/L,0.05,-0.0158,3.16,3.1337847190642836,0.026215280935716567,0.8295974979657141
Urea,g/L,0.05,-0.0156,3.16,3.138377926989702,0.02162207301029806,0.6842428167815842
Urea,g/L,0.05,-0.0155,3.16,3.1406193303517944,0.01938066964820573,0.6133123306394217
Urea,g/L,0.05,-0.0154,3.17,3.142822560607141,0.027177439392858993,0.8573324729608516
Urea,g/L,0.05,-0.0153,3.17,3.1449867246683585,0.025013275331641438,0.7890623133009916
Urea,g/L,0.05,-0.0151,3.17,3.149194827628329,0.0208051723716709,0.6563145858571262
Urea,g/L,0.05,-0.015,3.17,3.151237526121779,0.01876247387822083,0.5918761475779442
Urea,g/L,0.05,-0.0149,3.17,3.153238677610478,0.016761322389521993,0.5287483403634698
Urea,g/L,0.05,-0.0148,3.17,3.155197934776501,0.014802065223499028,0.46694212061511126
Urea,g/L,0.05,-0.0147,3.17,3.1571150594558173,0.012884940544182655,0.4064650013937746
Urea,g/L,0.05,-0.0145,3.18,3.160822504467639,0.019177495532361366,0.603065897244068
Urea,g/L,0.05,-0.0144,3.18,3.1626128942415406,0.017387105758459587,0.546764332027031
Urea,g/L,0.05,-0.0143,3.18,3.1643612904115077,0.01563870958849245,0.49178332039284434
Urea,g/L,0.05,-0.0142,3.18,3.166068000582969,0.013931999417031271,0.4381131892148198
