Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH,pH_predicho,Error_abs,Error_pct
Melaza,%,6.0,0.0,5.41,5.524190940607664,-0.11419094060766355,2.110738273709123
Melaza,%,6.0,0.0143,5.57,5.6101765580121565,-0.04017655801215625,0.721302657309807
Melaza,%,6.0,0.0286,5.64,5.698895314494909,-0.058895314494908924,1.0442431648033497
Melaza,%,6.0,0.0428,5.72,5.789725823766016,-0.06972582376601633,1.2189829329723134
Melaza,%,6.0,0.0569,5.81,5.882635269830548,-0.07263526983054813,1.2501767612831005
Melaza,%,6.0,0.071,5.91,5.978275816948793,-0.06827581694879292,1.155259170030337
Melaza,%,6.0,0.085,5.98,6.075959626428472,-0.09595962642847145,1.604676027231964
Melaza,%,6.0,0.0989,6.06,6.175645391732241,-0.11564539173224109,1.9083397975617342
Melaza,%,6.0,0.1127,6.18,6.277289285430307,-0.0972892854303069,1.574260282043801
Melaza,%,6.0,0.1265,6.3,6.381610739050188,-0.08161073905018856,1.2954085563521995
Melaza,%,6.0,0.1402,6.42,6.487834366480913,-0.06783436648091268,1.0566100697961478
Melaza,%,6.0,0.1539,6.62,6.596713877401165,0.02328612259883478,0.35175411780717186
Melaza,%,6.0,0.1675,6.78,6.707430750841708,0.07256924915829188,1.0703429079394082
Melaza,%,6.0,0.181,6.94,6.819930238504127,0.12006976149587345,1.730111837116332
Melaza,%,6.0,0.1944,7.05,6.934155909596587,0.11584409040341281,1.6431785872824511
Melaza,%,6.0,0.2078,7.23,7.050930687255055,0.17906931274494564,2.4767539798747666
Melaza,%,6.0,0.2212,7.32,7.170251750983734,0.14974824901626604,2.0457411067795905
Melaza,%,6.0,0.2344,7.43,7.290276854335983,0.1397231456640169,1.8805268595426232
Melaza,%,6.0,0.2476,7.53,7.412761832094439,0.11723816790556096,1.5569477809503447
Melaza,%,6.0,0.2607,7.61,7.536742819178986,0.07325718082101407,0.9626436375954542
Melaza,%,6.0,0.2738,7.75,7.6631287286669,0.08687127133310035,1.1209196301045208
Melaza,%,6.0,0.2868,7.87,7.790915953155843,0.07908404684415693,1.0048798836614603
Melaza,%,6.0,0.2998,8.01,7.921047196713169,0.08895280328683075,1.1105218887244788
Melaza,%,6.0,0.3126,8.17,8.051452356037316,0.11854764396268358,1.451011554010815
Melaza,%,6.0,0.3255,8.29,8.18514519089142,0.1048548091085788,1.2648348505256792
Melaza,%,6.0,0.3382,8.4,8.318973176608832,0.08102682339116818,0.9646050403710497
Melaza,%,6.0,0.3509,8.53,8.454973316955718,0.07502668304428184,0.879562521034957
Melaza,%,6.0,0.3636,8.64,8.593125643037155,0.04687435696284581,0.5425272796625672
Melaza,%,6.0,0.3762,8.74,8.732295776653725,0.007704223346275185,0.08814900853861768
Melaza,%,6.0,0.3887,8.83,8.872411522927436,-0.042411522927435996,0.4803116979324575
Melaza,%,6.0,0.4012,8.93,9.0,-0.07000000000000028,0.7838745800671924
Melaza,%,6.0,0.4136,8.95,9.0,-0.05000000000000071,0.5586592178771029
Melaza,%,6.0,0.4259,9.0,9.0,0.0,0.0
Melaza,%,10.0,-0.8633,3.0,3.0,0.0,0.0
Melaza,%,10.0,-0.8601,3.01,3.007353494787049,0.002646505212950956,0.08792376122760652
Melaza,%,10.0,-0.8568,3.01,3.016150571727467,-0.006150571727467025,0.20433793114508386
Melaza,%,10.0,-0.8536,3.02,3.0245897576501495,-0.004589757650149462,0.1519787301373994
Melaza,%,10.0,-0.8503,3.02,3.0332000252373863,-0.013200025237386281,0.4370869283902742
Melaza,%,10.0,-0.8471,3.03,3.041460995874141,-0.0114609958741414,0.3782506889155578
Melaza,%,10.0,-0.8438,3.03,3.049890490172219,-0.019890490172219,0.6564518208653136
Melaza,%,10.0,-0.8405,3.04,3.058230500061976,-0.018230500061975796,0.5996875020386775
Melaza,%,10.0,-0.8372,3.04,3.0664825602920533,-0.026482560292053314,0.87113685171228
Melaza,%,10.0,-0.8339,3.05,3.0746481985208494,-0.02464819852084954,0.8081376564212964
Melaza,%,10.0,-0.8306,3.06,3.08272893531654,-0.022728935316540078,0.7427756639392182
Melaza,%,10.0,-0.8273,3.07,3.090726284157201,-0.020726284157201125,0.6751232624495481
